Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5
22.5,23.1,21.9,24,22.8
23,23.5,22.2,24.3,23.1
21.8,22.4,21.5,23,22
22.2,23,21.7,23.7,22.5
23.1,23.6,22.5,24.2,23
21.9,22.5,21.2,22.9,21.8
22.7,23.3,22,23.8,22.6
23.2,23.8,22.7,24.4,23.3
21.7,22.3,21,22.7,21.6
22,22.7,21.3,23,22.1
23,23.6,22.4,24.1,22.9
22.4,23,21.8,23.4,22.4
22.8,23.3,22.1,23.9,22.7
21.6,22.2,20.9,22.6,21.5
22.1,22.8,21.4,23.1,22
23.3,23.9,22.8,24.5,23.4
21.5,22,20.8,22.5,21.3
22.3,23.1,21.6,23.6,22.3
22.9,23.4,22.3,24,22.8
21.8,22.3,21.1,22.8,21.7
22.6,23.2,22,23.7,22.6
23.1,23.7,22.6,24.3,23.2
21.9,22.4,21.2,22.9,21.9
22.5,23.1,21.9,23.8,22.5
23.2,23.8,22.7,24.4,23.3
21.7,22.3,21,22.7,21.6
22,22.6,21.3,23,22.1
23,23.5,22.4,24.1,22.9
22.3,23,21.7,23.5,22.4
22.7,23.3,22,23.9,22.7
